100000; 0.005
200000; 0.009
300000; 0.013
400000; 0.016
500000; 0.020
600000; 0.025
700000; 0.032
800000; 0.034
900000; 0.039
1000000; 0.042
100000; 0.004
200000; 0.007
300000; 0.012
400000; 0.017
500000; 0.019
600000; 0.028
700000; 0.031
800000; 0.035
900000; 0.038
1000000; 0.047
100000; 0.004
200000; 0.008
300000; 0.012
400000; 0.015
500000; 0.020
600000; 0.025
700000; 0.031
800000; 0.033
900000; 0.038
1000000; 0.044
100000; 0.003
200000; 0.008
300000; 0.013
400000; 0.016
500000; 0.019
600000; 0.025
700000; 0.028
800000; 0.032
900000; 0.038
1000000; 0.040
100000; 0.003
200000; 0.007
300000; 0.012
400000; 0.016
500000; 0.019
600000; 0.026
700000; 0.030
800000; 0.033
900000; 0.036
1000000; 0.041
100000; 0.003
200000; 0.008
300000; 0.012
400000; 0.015
500000; 0.021
600000; 0.026
700000; 0.031
800000; 0.033
900000; 0.036
1000000; 0.041
100000; 0.004
200000; 0.008
300000; 0.013
400000; 0.015
500000; 0.019
600000; 0.024
700000; 0.031
800000; 0.033
900000; 0.036
1000000; 0.040
